#galactic.lon,galactic.lat,ecliptic.lon,ecliptic.lat
-179.97708519102488,-62.278921294761659,-179.08250319795184,-0.39776015622866029
-177.85658738348471,-62.460582404133,-178.16491796735974,-0.7954183116159681
-175.7124872525909,-62.609697414324863,-177.24715593632607,-1.1928724521695691
-173.5491558679698,-62.725729675371177,-176.32912884635232,-1.5900205376671075
-171.37123787819152,-62.808253475336215,-175.41074860930362,-1.9867604887213406
-169.1835907964186,-62.856961623150177,-174.49192736469095,-2.3829901740617254
-166.99121670843448,-62.871671055103285,-173.57257753737352,-2.7786073981046839
-164.79918869661839,-62.852326229915157,-172.65261189578584,-3.1735098888855857
-162.61257462872632,-62.799000166793405,-171.73194361078816,-3.5675952864251808
-160.43636114112201,-62.711893081486174,-170.81048631523913,-3.9607611316042717
-158.27538063268599,-62.59132867940319,-169.88815416438729,-4.3529048556201824
-156.13424387946816,-62.437748264387665,-168.96486189717132,-4.7439237700997463
-154.01728050368436,-62.251702909180445,-168.04052489852052,-5.133715057943367
-151.92848902363184,-62.03384400295058,-167.11505926273776,-5.5221757649759056
-149.8714976247517,-61.784912538454279,-166.18838185804697,-5.9092027924801505
-147.84953618151289,-61.505727524757084,-165.26041039237964,-6.2946928906895021
-145.86541947705183,-61.19717391166931,-164.33106348046849,-6.6785426533170789
-143.9215410553808,-60.860190391722455,-163.40026071231452,-7.0606485131985952
-142.01987672948351,-60.495757408703838,-162.46792272308235,-7.4409067391274428
-140.16199647346815,-60.104885653292975,-161.53397126447339,-7.8192134339601598
-138.34908325049139,-59.688605271179497,-160.59832927762025,-8.1954645340714745
-136.5819572616696,-59.24795595180219,-159.66092096753422,-8.5695558102377589
-134.86110412821324,-58.783978010403885,-158.72167187913129,-8.9413828700284199
-133.1867056187798,-58.29770452538699,-157.78050897485053,-9.3108411617843316
-131.55867168455961,-57.790154548937039,-156.83736071387051,-9.6778259802624849
-129.97667274515055,-57.262327372589468,-155.89215713291489,-10.04223247402579
-128.44017136089488,-56.715197801117974,-154.94482992863198,-10.403955654656107
-126.94845261782643,-56.149712367485549,-153.99531254151418,-10.762890407868253
-125.50065272933861,-55.566786407891954,-153.04354024131595,-11.118931506601342
-124.09578551744167,-54.967301908191544,-152.08945021391165,-11.471973626162855
-122.73276657244421,-54.352106030076747,-151.13298164952187,-11.821911361498946
-121.41043500195397,-53.722010226350264,-150.1740758322201,-12.168639246662906
-120.127572768926,-53.077789858360951,-149.21267623061874,-12.512051776551056
-118.88292168597638,-52.420184234377764,-148.24872858961402,-12.852043430972991
-117.67519818190146,-51.74989699460054,-147.28218102305425,-13.188508701119908
-116.50310598915129,-51.067596776066758,-146.31298410717889,-13.521342118491088
-115.3653469207901,-50.373918098457175,-145.34109097465611,-13.850438286334994
-114.26062991495087,-49.669462419403125,-144.36645740903026,-14.175691913656488
-113.1876785263606,-48.954799315114649,-143.38904193937182,-14.496997851837268
-112.1452370402825,-48.230467748842088,-142.40880593490158,-14.814251133910503
-111.13207537592024,-47.496977395760887,-141.42571369934507,-15.127347016525297
-110.14699293536555,-46.754809998302164,-140.43973256475221,-15.436181024629276
-109.18882154164976,-46.004420730733472,-139.45083298449785,-15.740648998891016
-108.25642759622804,-45.246239555955107,-138.45898862516341,-16.040647145875987
-107.348713572901,-44.480672561053453,-137.46417645697713,-16.336072090981204
-106.46461895221418,-43.708103261195944,-136.46637684247563,-16.626820934125313
-105.60312068806223,-42.928893864016935,-135.46557362303398,-16.91279130818068
