00 40 41.2717  +06 16 32.061
00 41 01.1411  +06 17 21.112
00 41 20.7006  +06 18 33.421
00 41 40.0796  +06 19 54.909
00 41 59.3593  +06 21 21.795
00 42 18.5491  +06 22 52.244
00 42 37.7005  +06 24 25.439
00 42 56.8376  +06 26 00.833
00 43 15.9255  +06 27 37.802
00 43 34.9596  +06 29 15.996
00 43 53.9981  +06 30 55.483
00 44 13.0294  +06 32 36.028
00 44 32.0063  +06 34 17.244
00 44 50.9643  +06 35 59.204
00 45 09.8931  +06 37 41.767
00 45 28.8640  +06 39 25.246
00 45 47.8238  +06 41 09.294
00 46 06.7213  +06 42 53.572
00 46 25.6560  +06 44 38.581
00 46 44.5897  +06 46 24.067
00 47 03.4862  +06 48 09.789
00 47 22.3896  +06 49 55.957
00 47 41.2717  +06 51 42.380
00 48 00.1059  +06 53 28.883
00 48 18.9488  +06 55 15.760
00 48 37.7801  +06 57 02.874
01 02 24.5219  +08 18 12.003
01 02 43.2756  +08 20 04.805
01 03 02.0451  +08 21 57.792
01 03 20.8109  +08 23 50.848
01 03 39.5523  +08 25 43.850
01 03 58.3241  +08 27 37.130
01 04 17.0996  +08 29 30.526
01 04 35.8510  +08 31 23.871
01 04 54.6220  +08 33 17.430
01 05 13.3783  +08 35 10.997
01 05 32.1539  +08 37 04.780
01 05 50.9071  +08 38 58.531
01 06 09.6602  +08 40 52.391
01 06 28.4264  +08 42 46.448
01 06 47.1467  +08 44 40.352
01 07 05.8789  +08 46 34.470
01 07 24.6017  +08 48 28.688
01 07 43.3335  +08 50 23.136
01 08 02.0642  +08 52 17.773
01 08 20.8020  +08 54 12.670
01 08 39.5073  +08 56 07.609
01 08 58.2188  +08 58 02.860
01 09 16.9109  +08 59 58.313
01 09 35.5975  +09 01 54.136
01 09 54.2798  +09 03 50.477
01 10 12.9340  +09 05 47.474
01 10 31.5513  +09 07 45.820
01 02 09.2909  +08 14 54.098
01 01 50.8292  +08 12 51.258
01 01 32.3445  +08 10 47.838
01 01 13.8654  +08 08 44.015
01 00 55.4206  +08 06 39.968
01 00 36.9712  +08 04 35.420
01 00 18.5481  +08 02 30.559
01 00 00.1825  +08 00 25.577
00 59 41.7735  +07 58 19.760
00 59 23.4233  +07 56 13.774
00 59 05.1039  +07 54 07.391
00 58 46.7942  +07 52 00.422
00 58 28.4815  +07 49 52.727
00 58 10.2227  +07 47 44.645
00 57 51.9625  +07 45 35.721
00 57 33.7211  +07 43 26.012
00 57 15.5331  +07 41 15.664
00 56 57.3442  +07 39 04.162
00 56 39.1869  +07 36 51.575
00 56 21.0781  +07 34 37.814
00 56 03.0375  +07 32 22.738
00 55 45.0712  +07 30 05.982
00 55 27.1874  +07 27 46.991
00 55 09.3921  +07 25 24.798
00 54 51.7874  +07 22 58.371
00 54 34.4723  +07 20 24.321
00 54 18.0030  +07 17 31.121
